id,alcoholic,IBA,category_Cocktail,category_Ordinary Drink,category_Punch / Party Drink,glass_Brandy snifter,glass_Champagne flute,glass_Cocktail glass,glass_Collins glass,glass_Copper Mug,glass_Highball glass,glass_Old-fashioned glass,glass_Pousse cafe glass,glass_Whiskey Glass,glass_Whiskey sour glass,glass_White wine glass,ingredientInName,instructionsLength,tagsCount,ingredientsCount,classic,gin
11666,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7843137254901961,0.0,1.0,0,1
11670,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1764705882352941,0.0,0.0,0,0
11690,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0980392156862745,0.2222222222222222,0.75,1,0
11720,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.21568627450980393,0.0,0.75,0,1
11728,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.43137254901960786,0.0,0.25,0,1
11766,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.21568627450980393,0.0,0.25,0,0
11786,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3137254901960784,0.0,1.0,0,0
11798,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1568627450980392,0.0,0.25,0,0
11844,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4901960784313726,0.0,0.75,0,0
11870,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3137254901960784,0.0,0.5,0,1
11872,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0980392156862745,0.0,0.75,0,0
11936,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.4509803921568627,0.0,0.0,0,1
11938,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0784313725490196,0.0,0.5,0,1
11959,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.05882352941176472,0.0,0.0,0,1
11961,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1764705882352941,0.0,0.0,0,0
11963,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05882352941176472,0.0,0.0,0,0
11965,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.23529411764705882,0.0,0.75,0,0
11983,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0784313725490196,0.0,0.5,0,0
11985,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0784313725490196,0.0,0.25,0,0
11987,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0784313725490196,0.0,0.25,0,0
11989,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.21568627450980393,0.0,0.25,0,0
11991,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0784313725490196,0.0,0.25,0,1
11993,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.0,0.5,0,0
